Y Upper Quartile	Y Std	Y Lower Quartile	Y Median	Count	X Mean	X Center	Y Mean
nan	nan	nan	nan	0	nan	2.0294117647058822	nan
nan	nan	nan	nan	0	nan	2.0882352941176467	nan
nan	nan	nan	nan	0	nan	2.1470588235294117	nan
nan	nan	nan	nan	0	nan	2.2058823529411766	nan
nan	nan	nan	nan	0	nan	2.264705882352941	nan
nan	nan	nan	nan	0	nan	2.3235294117647056	nan
nan	nan	nan	nan	0	nan	2.3823529411764706	nan
nan	nan	nan	nan	0	nan	2.4411764705882355	nan
nan	nan	nan	nan	0	nan	2.5	nan
nan	nan	nan	nan	0	nan	2.5588235294117645	nan
nan	nan	nan	nan	0	nan	2.6176470588235294	nan
nan	nan	nan	nan	0	nan	2.6764705882352944	nan
nan	nan	nan	nan	0	nan	2.735294117647059	nan
nan	nan	nan	nan	0	nan	2.7941176470588234	nan
nan	nan	nan	nan	0	nan	2.852941176470588	nan
nan	nan	nan	nan	0	nan	2.9117647058823533	nan
nan	nan	nan	nan	0	nan	2.9705882352941178	nan
nan	nan	nan	nan	0	nan	3.0294117647058822	nan
nan	nan	nan	nan	0	nan	3.0882352941176467	nan
nan	nan	nan	nan	0	nan	3.147058823529412	nan
nan	nan	nan	nan	0	nan	3.2058823529411766	nan
nan	nan	nan	nan	0	nan	3.264705882352941	nan
8260.515974654461	35.27485826788593	8207.481064768617	8207.481064768617	589	3.325495463519465	3.3235294117647056	8225.529556266863
8245.381656857902	18.508386945550644	8208.363735391153	8208.363735391153	508	3.397904609623153	3.3823529411764706	8226.726956276234
8210.445853397949	54.47700247785831	8167.871021015141	8208.186140165935	1268	3.4291528296869123	3.4411764705882355	8185.848613515991
8255.185534757095	115.7161423799701	8115.225989984481	8219.82487708321	3654	3.502578039104929	3.5	8213.123320021547
8292.583813644327	97.47102472159004	8127.20596697348	8223.0430722257	4631	3.562344958158617	3.5588235294117645	8223.926368646724
8345.426001360634	85.92486560688558	8225.448636861543	8283.716643276131	6348	3.61897730435114	3.617647058823529	8275.162828156663
8421.092887761908	114.46530849063177	8317.037038660374	8343.409339001486	5924	3.6763729575731023	3.6764705882352944	8375.122615244212
8448.7091224638	91.1716619849199	8336.937051409488	8388.426937916724	6924	3.7360351215553584	3.735294117647059	8400.293937337901
8494.226515935245	95.14444413175661	8370.581064800683	8423.235237824336	5423	3.789943941911152	3.7941176470588234	8426.0364680538
8599.770819592215	116.48599851480145	8365.080624521315	8525.396106802506	4741	3.8511127717190745	3.852941176470588	8498.551192716974
8718.95465632038	116.50282113194278	8533.770392532619	8610.610057109467	4451	3.9117907678410258	3.9117647058823533	8624.926512420254
8744.646460125809	106.19638301067158	8573.699263970062	8707.048232119922	3038	3.9643428237305995	3.9705882352941178	8666.820244986919
8886.081059767357	93.84470934975252	8720.486835294121	8805.19423414646	2088	4.025715940182011	4.029411764705882	8785.5285850047
8872.971448184953	85.92053720153358	8763.326318155578	8815.723414890852	2372	4.095086585572784	4.088235294117647	8808.793348845273
8947.147019098804	77.92873943772086	8815.448180626863	8874.377616011056	2013	4.142584029687319	4.147058823529411	8885.379278992028
8894.446004565732	73.48635213517831	8773.05255180617	8867.076559275705	1813	4.209368440971874	4.205882352941176	8855.316005473913
9019.050769379848	125.59113523623675	8728.879342583416	8785.48055492149	768	4.260601861298926	4.264705882352941	8844.470222294918
8895.923598100933	7.637464240522605	8880.648669619888	8888.28613386041	512	4.315546541187235	4.3235294117647065	8888.286133860409
nan	nan	nan	nan	0	nan	4.382352941176471	nan
nan	nan	nan	nan	0	nan	4.4411764705882355	nan
nan	nan	nan	nan	0	nan	4.5	nan
nan	nan	nan	nan	0	nan	4.5588235294117645	nan
nan	nan	nan	nan	0	nan	4.617647058823529	nan
nan	nan	nan	nan	0	nan	4.6764705882352935	nan
nan	nan	nan	nan	0	nan	4.735294117647059	nan
nan	nan	nan	nan	0	nan	4.794117647058823	nan
nan	nan	nan	nan	0	nan	4.852941176470589	nan
nan	nan	nan	nan	0	nan	4.911764705882353	nan
nan	nan	nan	nan	0	nan	4.970588235294118	nan
