X Mean	Y Lower Quartile	Y Mean	Count	Y Upper Quartile	X Center	Y Std	Y Median
nan	nan	nan	0	nan	3.6216678344652173	nan	nan
nan	nan	nan	0	nan	3.660883520739727	nan	nan
nan	nan	nan	0	nan	3.700099207014237	nan	nan
nan	nan	nan	0	nan	3.7393148932887468	nan	nan
nan	nan	nan	0	nan	3.778530579563257	nan	nan
nan	nan	nan	0	nan	3.8177462658377666	nan	nan
nan	nan	nan	0	nan	3.856961952112276	nan	nan
nan	nan	nan	0	nan	3.896177638386786	nan	nan
nan	nan	nan	0	nan	3.9353933246612955	nan	nan
nan	nan	nan	0	nan	3.9746090109358057	nan	nan
nan	nan	nan	0	nan	4.013824697210316	nan	nan
nan	nan	nan	0	nan	4.053040383484825	nan	nan
nan	nan	nan	0	nan	4.092256069759335	nan	nan
nan	nan	nan	0	nan	4.131471756033845	nan	nan
nan	nan	nan	0	nan	4.170687442308354	nan	nan
nan	nan	nan	0	nan	4.209903128582864	nan	nan
nan	nan	nan	0	nan	4.249118814857374	nan	nan
nan	nan	nan	0	nan	4.288334501131884	nan	nan
nan	nan	nan	0	nan	4.327550187406394	nan	nan
nan	nan	nan	0	nan	4.366765873680904	nan	nan
nan	nan	nan	0	nan	4.405981559955413	nan	nan
nan	nan	nan	0	nan	4.445197246229924	nan	nan
nan	nan	nan	0	nan	4.4844129325044335	nan	nan
4.523136088102713	183.26788367506924	183.26788367506924	1	183.26788367506924	4.523628618778943	0.0	183.26788367506924
4.562112743908506	-313.5726438549809	248.22301629641188	5	625.5421698790597	4.562844305053453	693.70897720452	6.387080930135198
4.608395122348449	-1162.2418711040937	-577.1640986277226	7	243.36892046427738	4.6020599913279625	811.4070883687008	-960.5674733234355
4.644014386930645	-730.8387815549113	-21.51638697884516	27	625.3649345347976	4.641275677602472	1280.0279642560793	175.645523174162
4.686683747609101	-776.3025743993444	-62.842821544071754	146	533.2057859973511	4.680491363876982	1003.4559804701083	-62.98078525558685
4.722296947436291	-535.304254827447	-11.425326291275978	483	564.7362003687331	4.7197070501514915	914.4119517809613	36.992361082297066
4.761617178188005	-562.2511413498569	-30.981527914376226	1221	585.5394673793926	4.758922736426001	968.4739320122236	-5.2879567883428535
4.79972620310137	-557.5756271116084	-27.141635271660924	2500	534.7632644359705	4.798138422700512	887.6538902072324	1.838058695187101
4.838172948446258	-550.8085020060089	-21.70954022093971	3516	529.6390164415593	4.837354108975021	894.1723014001362	-2.0477260746092725
4.877024051810648	-522.5903269527769	-31.899963576529874	4310	512.8952648530112	4.876569795249531	853.3226301285887	-6.5804092825792395
4.916267899617535	-519.343446596682	-33.706139826873375	4936	477.87103524177473	4.915785481524041	825.9294416265499	-10.882061994588184
4.95512641811403	-499.403316609767	-27.112145666449077	5191	486.9671910939487	4.955001167798551	789.52161264298	1.489082772988695
4.994344621685915	-474.5351827642671	-32.0567672793117	4911	451.3769042720787	4.994216854073061	792.8709323291007	-10.94991197636773
5.033678818034212	-475.5703707330324	-43.12605094498363	5222	420.9386958433224	5.033432540347571	764.4983827448006	-21.38761076778428
5.071768871236618	-452.32327169849486	-35.7444556101795	4689	418.0184069524221	5.07264822662208	771.3684116521453	-13.912138042413062
5.110976779426248	-403.6590955010265	-31.051464610799144	3462	363.34380963141666	5.11186391289659	680.8579200692135	-20.589933230449788
5.150210109542404	-369.52826170559456	-39.427989352214695	2719	326.63799200143603	5.1510795991711	588.8832770412371	-23.297715297103423
5.190828827027539	-320.1432945455099	-27.368200648516417	2307	309.6725616427266	5.190295285445609	521.9586722728441	-17.934234596152237
5.229410017490614	-321.1417454313614	-42.34449089508705	2349	269.76130314597685	5.229510971720119	518.4893566947413	-13.65834057237953
5.268192150422974	-294.63846909858876	-50.137073036284114	2161	241.43188766001367	5.268726657994629	522.6819915192569	-16.88723321262296
5.30786454841898	-302.71857312111024	-65.28367518543035	1966	251.65384133067028	5.307942344269139	562.2453460913989	-24.31229133148736
5.346707339715543	-322.1061777405539	-72.0220555371034	1713	225.95935333728266	5.347158030543649	647.8594541641187	-23.719924185079435
5.385517994858469	-313.0423476003816	-77.52564945365673	1533	261.88955089558476	5.3863737168181585	696.8624170414328	-16.770771004636117
5.423245313966196	-331.38288641569306	-74.98654580738958	811	305.5017487550176	5.425589403092668	815.3268426530933	-14.655279025922937
5.459327881651648	-353.1223783129326	-108.77913776942854	247	236.22093352076354	5.464805089367179	921.3479012630323	-14.267983206067584
5.498700469177061	-426.9551253495556	-85.73349686761512	63	346.5555121782172	5.504020775641688	771.3668861412854	5.045915056849481
5.533501951115395	-106.8532101912242	130.26154507689216	8	421.97658666098414	5.543236461916198	350.16298010346696	63.68007926986138
5.579740034364958	53.237829351986875	53.237829351986875	1	53.237829351986875	5.582452148190708	0.0	53.237829351986875
