[N II] Delta T	T1	T2	T3
-4901.9607843137255	8392718.812033815	9910482.700408973	34935030.97385089
-4705.882352941177	7147477.995184179	0.0	25638655.866991118
-4509.803921568628	10500678.140254328	9742691.388916794	39368059.449934244
-4313.725490196079	7223434.378542727	5787423.892361775	28022044.531851698
-4117.64705882353	11791522.790780786	7627466.400105642	20391718.594356075
-3921.5686274509803	13583015.958985183	0.0	18461572.43180005
-3725.490196078431	21309931.03891577	1715962.1794925043	30968423.928885568
-3529.411764705882	19685626.80672877	3081034.9747092677	30764821.11029902
-3333.333333333333	22298958.65981854	7260387.163654054	48489544.36138347
-3137.254901960784	17581378.61250515	3622128.983181434	20004132.251703233
-2941.176470588235	13768240.574652271	11514671.33789391	33574331.42482912
-2745.098039215686	48686227.70529087	9317770.426980214	52234027.615072876
-2549.0196078431372	67135416.13715936	17028845.83101511	65001301.971388735
-2352.9411764705883	112706679.74360478	13106491.835000696	60644696.85147367
-2156.862745098039	169166809.3995194	22895060.486017536	116361176.49722558
-1960.78431372549	247335438.9039049	35473278.71251381	123374197.10578004
-1764.705882352941	319304804.68979174	82688178.0316836	119356246.44459833
-1568.627450980392	507442748.2468412	170529882.23727673	196851575.55812413
-1372.5490196078429	770873713.7206143	271653309.2750662	328659999.8097421
-1176.4705882352937	1142189244.1978433	547585341.5684115	381893097.8916345
-980.3921568627447	1570239259.306165	909701865.7530227	743171789.4138376
-784.3137254901958	2249637519.9330945	1850974297.3232334	1247044365.918229
-588.2352941176468	2747458635.4261107	2950615370.9975367	2244769083.2537484
-392.1568627450979	3525802392.254556	4446583639.66041	3991977593.012195
-196.07843137254895	3899649353.34435	6087928396.932573	6224445381.012986
0.0	3968616064.241168	6883032703.005389	7581995143.734003
196.0784313725494	3936278477.5862403	5760726055.726028	6078595393.194472
392.1568627450988	3445369805.998243	4289016931.855072	4549456825.322451
588.2352941176478	2898165349.2269244	2619194814.369506	2074339212.7891903
784.3137254901967	2193692035.457167	1521721344.0925734	974846354.2862253
980.3921568627457	1672595190.6823547	689101105.4205273	542027680.9708188
1176.4705882352946	1097382091.8176336	338393358.56552327	178393761.37959835
1372.5490196078435	673255466.7790684	120152049.4900505	113760476.21676333
1568.6274509803925	506281707.6093063	52404670.81068029	62888887.34284026
1764.7058823529414	305567498.00803757	8529819.22372045	48974524.523078635
1960.7843137254904	145629359.82612532	11108371.410778686	47250748.00806785
2156.8627450980393	97375252.28103988	7081193.326577465	19778574.892177857
2352.9411764705887	48967487.375199	1849312.230533516	16136963.248134442
2549.019607843138	32560469.797797672	0.0	12533702.299594551
2745.098039215687	19880221.50156978	9567840.369420512	0.0
2941.176470588236	15363329.693886394	0.0	18549288.65103917
3137.254901960785	6118495.052907925	0.0	4619246.212029901
3333.333333333334	7118677.323246281	2690407.0243419115	17463163.36233933
3529.411764705883	5911912.07554939	1811145.878479324	4181513.49561534
3725.490196078432	3676599.100081111	0.0	4192340.8344668783
3921.568627450981	2297881.3107766313	3066966.5869333707	10755822.190700907
4117.64705882353	3509947.971630115	0.0	13849174.227696069
4313.725490196079	0.0	0.0	16311512.171597652
4509.803921568628	991677.8033179208	0.0	0.0
4705.882352941177	4713570.009577818	0.0	0.0
4901.9607843137255	1931747.4106708504	0.0	10320677.573892498
