nbin	trend fraction	T	t^2	d trend fraction	d T	d t^2
1	0.50	10534	0.00899	0.05	21	0.00278
2	0.64	10493	0.00637	0.05	2	0.00071
4	0.74	10503	0.00541	0.02	-3	0.00018
8	0.82	10512	0.00523	0.03	4	0.00004
16	0.81	10486	0.00471	0.10	1	0.00001
32	0.94	10498	0.00439	0.21	2	0.00000
64	0.93	10524	0.00426	0.51	0	0.00000
128	1.00	10353	0.00208	1.00	-2	0.00000
256	1.00	10324	0.00068	1.00	-3	0.00000
