X Center	Y Std	Y Mean	X Mean	Y Upper Quartile	Y Median	Y Lower Quartile	Count
2.8075630150895257	nan	nan	nan	nan	nan	nan	0
2.8663865445012906	nan	nan	nan	nan	nan	nan	0
2.925210073913055	nan	nan	nan	nan	nan	nan	0
2.9840336033248196	nan	nan	nan	nan	nan	nan	0
3.0428571327365845	nan	nan	nan	nan	nan	nan	0
3.1016806621483495	nan	nan	nan	nan	nan	nan	0
3.160504191560114	nan	nan	nan	nan	nan	nan	0
3.2193277209718785	nan	nan	nan	nan	nan	nan	0
3.2781512503836434	nan	nan	nan	nan	nan	nan	0
3.3369747797954084	nan	nan	nan	nan	nan	nan	0
3.395798309207173	nan	nan	nan	nan	nan	nan	0
3.4546218386189373	nan	nan	nan	nan	nan	nan	0
3.5134453680307023	nan	nan	nan	nan	nan	nan	0
3.5722688974424672	nan	nan	nan	nan	nan	nan	0
3.6310924268542317	nan	nan	nan	nan	nan	nan	0
3.689915956265996	nan	nan	nan	nan	nan	nan	0
3.748739485677761	nan	nan	nan	nan	nan	nan	0
3.807563015089526	nan	nan	nan	nan	nan	nan	0
3.8663865445012906	nan	nan	nan	nan	nan	nan	0
3.925210073913055	nan	nan	nan	nan	nan	nan	0
3.9840336033248196	nan	nan	nan	nan	nan	nan	0
4.042857132736584	nan	nan	nan	nan	nan	nan	0
4.1016806621483495	nan	nan	nan	nan	nan	nan	0
4.160504191560114	nan	nan	nan	nan	nan	nan	0
4.219327720971879	nan	nan	nan	nan	nan	nan	0
4.278151250383644	nan	nan	nan	nan	nan	nan	0
4.336974779795408	nan	nan	nan	nan	nan	nan	0
4.395798309207173	nan	nan	nan	nan	nan	nan	0
4.454621838618937	nan	nan	nan	nan	nan	nan	0
4.513445368030702	nan	nan	nan	nan	nan	nan	0
4.572268897442467	nan	nan	nan	nan	nan	nan	0
4.631092426854232	0.1651971722143543	3.8259920777388956	4.640555397574376	3.933808259837666	3.8238568242585185	3.6705430331554156	11
4.689915956265997	0.1917616439856799	3.5790965438619318	4.701453167153938	3.684013305058236	3.553425146500562	3.459573447913553	243
4.748739485677762	0.19081934181294394	3.4988509631105833	4.757485265322451	3.598701494991563	3.473680130644321	3.372810251621828	2356
4.807563015089526	0.17259544193716303	3.475106650825295	4.811341891179118	3.5726032227097333	3.460133497095515	3.3602609994079824	8081
4.866386544501291	0.17365105974629128	3.48390870603505	4.86707605380982	3.5845997697339396	3.4728729269311795	3.3662146171051965	11603
4.925210073913055	0.18390207174921974	3.5097828993983966	4.923544825551996	3.6205471406227927	3.4991097619894367	3.3861949470000816	9772
4.98403360332482	0.2091971686035661	3.585637665553994	4.982173508673755	3.7080571729486542	3.5684122729660928	3.445073591731317	6615
5.042857132736584	0.19196646336688883	3.7024887924047825	5.0411784401768625	3.8172349133691847	3.6938856076718243	3.5794653699040824	4890
5.1016806621483495	0.20884000521399976	3.807880502382797	5.100443461679918	3.905037382541201	3.7830978974697658	3.6756322973901994	3317
5.160504191560115	0.20360729653835574	3.9162843571347605	5.1606924463944015	4.0185516446112075	3.898047213580132	3.782010010246382	3233
5.219327720971879	0.1957467132441215	3.9292404576468254	5.219952535577106	4.024915228561039	3.9079433155958645	3.803441129592084	2969
5.278151250383644	0.1842294547167168	3.9305036858593687	5.275301376092365	4.034138379011874	3.9105594795211474	3.8002410940074123	2077
5.336974779795408	0.20266965190672448	4.0017047381132915	5.334641546122934	4.110603885548605	3.9841150431687917	3.875190167043693	965
5.395798309207173	0.2230684627904152	4.0554688536785655	5.389504334287114	4.160659422672753	4.034443207210273	3.916772422614766	506
5.454621838618937	0.1692006147781282	4.0804775415535905	5.447156345719906	4.190183057109667	4.086868467176889	3.960807658398385	69
5.513445368030702	0.11850984732594708	3.9889098619957872	5.504726456558353	4.03630342932413	3.9694924939560896	3.9383591820681154	15
5.572268897442467	0.0	3.9363766696494134	5.5431402230067475	3.9363766696494134	3.9363766696494134	3.9363766696494134	1
5.631092426854233	nan	nan	nan	nan	nan	nan	0
5.689915956265997	nan	nan	nan	nan	nan	nan	0
5.748739485677762	nan	nan	nan	nan	nan	nan	0
