Count	Y Upper Quartile	X Mean	Y Lower Quartile	X Center	Y Mean	Y Std	Y Median
0	nan	nan	nan	3.6216678344652173	nan	nan	nan
0	nan	nan	nan	3.660883520739727	nan	nan	nan
0	nan	nan	nan	3.700099207014237	nan	nan	nan
0	nan	nan	nan	3.7393148932887468	nan	nan	nan
0	nan	nan	nan	3.778530579563257	nan	nan	nan
0	nan	nan	nan	3.8177462658377666	nan	nan	nan
0	nan	nan	nan	3.856961952112276	nan	nan	nan
0	nan	nan	nan	3.896177638386786	nan	nan	nan
0	nan	nan	nan	3.9353933246612955	nan	nan	nan
0	nan	nan	nan	3.9746090109358057	nan	nan	nan
0	nan	nan	nan	4.013824697210316	nan	nan	nan
0	nan	nan	nan	4.053040383484825	nan	nan	nan
0	nan	nan	nan	4.092256069759335	nan	nan	nan
0	nan	nan	nan	4.131471756033845	nan	nan	nan
0	nan	nan	nan	4.170687442308354	nan	nan	nan
0	nan	nan	nan	4.209903128582864	nan	nan	nan
0	nan	nan	nan	4.249118814857374	nan	nan	nan
0	nan	nan	nan	4.288334501131884	nan	nan	nan
0	nan	nan	nan	4.327550187406394	nan	nan	nan
0	nan	nan	nan	4.366765873680904	nan	nan	nan
0	nan	nan	nan	4.405981559955413	nan	nan	nan
0	nan	nan	nan	4.445197246229924	nan	nan	nan
0	nan	nan	nan	4.4844129325044335	nan	nan	nan
0	nan	nan	nan	4.523628618778943	nan	nan	nan
0	nan	nan	nan	4.562844305053453	nan	nan	nan
0	nan	nan	nan	4.6020599913279625	nan	nan	nan
0	nan	nan	nan	4.641275677602472	nan	nan	nan
0	nan	nan	nan	4.680491363876982	nan	nan	nan
0	nan	nan	nan	4.7197070501514915	nan	nan	nan
775	25.390276390511644	4.768069214552814	-9.347710698404626	4.758922736426001	4.6984953373663	25.505285786451108	25.390276390511644
2885	35.65965603911536	4.798320989488402	-51.793753436368206	4.798138422700512	-9.651872352778737	48.640980130023365	-8.21697280929402
3423	41.192781428859234	4.8328767925341305	-28.15830447549706	4.837354108975021	-3.1290585815897276	58.96181035445712	7.08529183133578
4311	28.60734646403398	4.878640127220868	-55.18246336079574	4.876569795249531	-16.555615430545284	56.4899963260386	0.8102093954494194
4926	30.330989936910555	4.915394855342768	-27.08960698795454	4.915785481524041	4.973361750881279	43.38982736637836	-20.12805629099239
6389	41.67780357681113	4.951598264839418	-43.36362411725531	4.955001167798551	-0.22785214590817607	48.762749088235694	-16.300427447142283
4065	43.3898740512268	4.99665864213596	-16.085237374021744	4.994216854073061	7.913696360327356	33.29112692958268	-5.566034921330356
6536	17.531317110942837	5.0326085363276825	-29.858462790356498	5.033432540347571	-8.166688782934346	36.79647134864088	-6.195500733967492
4367	17.36606162554017	5.0731376011933	-22.60222646301736	5.07264822662208	-0.28578047179265637	34.05015779123479	-5.71616657267441
3529	14.82304111551457	5.1105221210646405	-39.94496985853402	5.11186391289659	-6.767284086168115	34.814251961608676	-5.345286444220619
2533	55.67377951966046	5.153586851938189	-4.350960698591734	5.1510795991711	22.773565830187238	33.28657757267436	14.639352965055878
2254	12.904771823812553	5.185174424876194	-17.76079592825772	5.190295285445609	1.3018594005344193	27.52953549941583	2.1402035233495553
2285	22.614139378030814	5.229944159894716	-7.777879497654794	5.229510971720119	8.203158525818234	31.317855180208173	17.95852792486221
2419	22.807144871720084	5.269677639000195	-12.886824998371594	5.268726657994629	6.506454298954489	22.91215694394806	8.387036893851473
2258	21.00435253933938	5.306834067063482	-4.125494372588946	5.307942344269139	5.114928264718896	22.519891141760944	14.887238397774126
1845	31.75275719145975	5.352277933376662	-9.484571315297217	5.347158030543649	8.093664501080168	20.336154489584146	12.2976632060072
2265	11.367754806327866	5.391314216347573	-11.07221080335512	5.3863737168181585	-0.9037556748536381	17.07321070202522	1.7219411722144287
0	nan	nan	nan	5.425589403092668	nan	nan	nan
0	nan	nan	nan	5.464805089367179	nan	nan	nan
0	nan	nan	nan	5.504020775641688	nan	nan	nan
0	nan	nan	nan	5.543236461916198	nan	nan	nan
0	nan	nan	nan	5.582452148190708	nan	nan	nan
