X Mean	Y Upper Quartile	X Center	Y Lower Quartile	Y Mean	Y Std	Y Median	Count
3.6226879166915125	1611.6000822673814	3.6216678344652173	-1795.5140586710331	-17.43740789968773	2274.4370890035484	-84.26364962134903	1216
3.6624252007237175	1931.2447656112417	3.660883520739727	-1382.4113542452324	207.98598286202017	2251.6215626440885	274.3281258626521	1612
3.7010253332062937	1852.7588329935315	3.700099207014237	-1361.5613365536856	200.7479520048637	2225.9785259831533	171.24270587395222	2052
3.7404531661029865	1576.082887132587	3.7393148932887468	-1291.7227921601925	104.52542309844476	2142.838343680083	102.99829032402977	2512
3.7802491765985526	1903.7066368392898	3.778530579563257	-1095.1203355796588	314.30736943680665	2173.691581094646	368.7568219162731	3392
3.818645474730306	1690.8174761955052	3.8177462658377666	-1367.3546563544287	120.92766114520302	2139.9872048406905	90.98090219330334	4372
3.8580473453811335	1657.0310412065774	3.856961952112276	-1304.4872420910506	182.04712524974295	2076.726154638736	181.76741186473555	5708
3.8972018297830813	1699.1382736170744	3.896177638386786	-1182.7032346121468	278.5126665518707	2073.7467149020777	359.11642694956754	6668
3.935967259343581	1642.1520492439786	3.9353933246612955	-1190.05352910092	207.69550993186994	2030.4454141190033	244.68945446018915	8748
3.9749762418773753	1446.092354614123	3.9746090109358057	-1135.347666952508	163.37962684306336	1969.5700067204446	213.18192517119496	9852
4.014763356785615	1463.2756517841208	4.013824697210316	-1039.634572505126	213.99291797465617	1923.7249352420267	244.58826901146267	12080
4.054026076623597	1351.5363801067579	4.053040383484825	-968.7911070164591	168.85601820126763	1836.590021710909	166.11987625874644	14708
4.093586725136629	1158.235294583983	4.092256069759335	-888.6998673931012	131.0126409178269	1701.5380565704158	117.07003896238894	18996
4.132616491916896	1010.3467536547337	4.131471756033845	-778.7226751226613	111.86791084751883	1557.6633061434395	102.03169335013445	25360
4.171728331408266	883.0541416506421	4.170687442308354	-719.4810690462764	87.33240892370233	1434.8898051832082	105.25909405969014	35016
4.210976756600421	811.7439457093851	4.209903128582864	-684.2388366411815	53.06064032004213	1359.2207901062277	62.70826860080797	50264
4.250003551541616	739.8388616135671	4.249118814857374	-636.245367508719	42.05793374755557	1259.8391329761998	48.727694189785325	65252
4.288959324391407	668.7956009248901	4.288334501131884	-607.0407058255278	19.815469013369004	1185.8146896110723	37.64515642688639	84012
4.327966396924102	626.6063399257018	4.327550187406394	-580.8235923146194	6.983314724451632	1141.765481467836	38.1808921384727	96484
4.366747307346467	590.0447733784258	4.366765873680904	-529.0055050150859	13.78469888017474	1080.4454247014942	37.91525206395272	105580
4.4061118298671245	545.1126857759518	4.405981559955413	-514.8411842210735	-2.7698104181993837	1017.367811914841	24.27573901179312	108044
4.445214466688494	488.990898834943	4.445197246229924	-482.9791227221406	-13.162185140826127	970.2500698926433	15.294003789820636	109856
4.484314055454092	466.4339783635296	4.4844129325044335	-453.8421650446453	-10.50348303078845	924.5558214266023	11.332666338346826	108812
4.523512232446032	443.6238180564869	4.523628618778943	-418.73841353653916	-10.086071623290898	882.1061345963415	12.413106248608528	105540
4.5625832764256815	427.0158133844725	4.562844305053453	-402.80453893527374	-8.913810459728795	837.1044353066632	18.367668013264847	101836
4.601706886510476	407.4518621376992	4.6020599913279625	-387.6410688660253	-8.13113101022097	794.9777596582965	15.000015112822894	96840
4.64087600073103	388.4702008234981	4.641275677602472	-382.2272645216649	-11.425536406751371	770.4643180480108	8.863512964209804	88096
4.679802904998705	372.6825647983278	4.680491363876982	-358.66455401085386	-8.389761038448707	727.555000924904	11.47869897007513	74972
4.719370130015164	338.9891653672512	4.7197070501514915	-341.801700017817	-15.689262075286761	662.9508297165007	1.1013075092519102	62472
4.758926348256934	306.2493536324389	4.758922736426001	-328.0670271363879	-21.706496758746656	578.4829978285525	-6.526020137733212	61232
4.798481285885941	290.8318447987258	4.798138422700512	-292.0866215968199	-9.39892622134292	531.9645233846157	4.383195866153073	68180
4.837239852021474	273.80342519322085	4.837354108975021	-281.939547206061	-11.779740544888616	482.2644636829985	1.8906898043251203	67264
4.876942002310436	252.65634125957695	4.876569795249531	-264.81050828143634	-12.593801864698156	459.12867610293114	-4.554135068445248	69560
4.915907015665565	250.5536973848648	4.915785481524041	-257.12505040408905	-8.573405219875932	448.04263729703024	-1.301735625243964	75580
4.954716399845598	240.42454467040216	4.955001167798551	-249.3608547207068	-9.03283229919412	429.68762174285905	-3.2343307306382485	75488
4.994218150856137	237.53443570226182	4.994216854073061	-239.320487039412	-1.2615934140592875	425.9728480150812	3.533868886082928	70336
5.033719947785149	230.0144083888208	5.033432540347571	-245.58410302058655	-12.742464949673428	416.51774771990256	-5.575732698020147	76276
5.072319835471957	222.30202557850316	5.07264822662208	-233.15632219700092	-13.134915158266987	404.23272298988957	-7.340903586802597	75128
5.111598291197984	208.93840844508668	5.11186391289659	-207.4021569137949	-4.035274098597869	378.67610446627447	0.29225658491486683	66468
5.150972345543213	203.12775021238122	5.1510795991711	-201.91696073810272	-3.656183121276729	365.33641652139727	1.533727895552147	61484
5.1896572997366315	187.86373230735262	5.190295285445609	-186.8624472843021	-1.7719007211720312	347.6158303165827	4.1439320360132115	54988
5.228911647887944	178.2036199412014	5.229510971720119	-189.7157534772159	-9.112542390173202	335.8001376249796	-4.425481919299273	45708
5.267625582581502	173.22763479198693	5.268726657994629	-185.4434104783886	-10.581949199628687	329.9427138620639	-2.520740739784742	35956
5.306323320471855	158.88172274128192	5.307942344269139	-169.6562352392193	-7.772169447261834	314.37901545776685	-2.27313644476817	24676
