Y Lower Quartile	X Mean	Count	X Center	Y Mean	Y Upper Quartile	Y Std	Y Median
-1756.9191036914904	3.6224012415250337	1182	3.6216678344652173	142.5663226102452	2110.436411848303	2569.530455623907	118.84526547301994
-1600.7387967284806	3.661596169547555	1410	3.660883520739727	168.82518288194365	1955.9535141659608	2422.43192615274	148.94692769460949
-1540.3403189521014	3.700979285258685	1785	3.700099207014237	177.5503910384915	1995.607123044485	2429.34823653371	148.91759549006747
-1616.9508955884344	3.7396768004137164	2055	3.7393148932887468	196.51324525549725	1941.2405828743122	2425.595703344383	296.76540484914585
-1619.1316015654388	3.7793604008175508	2603	3.778530579563257	123.80262525188192	1952.8817626730765	2408.2762189144664	177.5770530628879
-1424.2834495058296	3.818627867888755	3159	3.8177462658377666	221.12232152375756	1958.5689639665034	2376.3957419741355	228.0644642373627
-1530.35959073079	3.8577729761448905	3990	3.856961952112276	123.23114659409258	1779.3695883540804	2352.2381203376517	129.51566631435708
-1444.3270915168796	3.8968013362715843	5097	3.896177638386786	193.78612518291013	1831.3020425033828	2296.3041773294544	211.58353846781029
-1420.0005243186456	3.936300809401218	6540	3.9353933246612955	187.06635963490385	1847.517306715	2318.2458310058896	202.04155664028394
-1277.1921342235673	3.9754936799979297	8025	3.9746090109358057	201.25708619536678	1700.3479727259455	2213.749513160654	264.6940765382933
-1254.4427994095568	4.014762871699466	10137	4.013824697210316	172.42962078118424	1672.471417088027	2186.3400115600293	192.39245356191714
-1208.3040281879034	4.054037097899714	13292	4.053040383484825	195.4464425885323	1621.7462464286	2122.361435635898	228.13053553484588
-1165.264617029523	4.09316772845859	17569	4.092256069759335	190.74542508474607	1558.6763772063423	2064.0539604689407	192.74587475611406
-1110.9102823656758	4.1323463492996195	22793	4.131471756033845	172.222356608627	1463.7341386660246	2011.2399796524767	188.44184419600606
-1046.6440170651767	4.171629458028945	29186	4.170687442308354	186.6599760637266	1452.5441610061825	1951.9084128620727	203.27746793354754
-986.0316033405047	4.210699206652522	37774	4.209903128582864	185.15839985845858	1388.8978601109707	1891.3986944134106	185.90246340178874
-984.4760270045749	4.249797662935281	47555	4.249118814857374	156.1398816284151	1304.8567544162734	1831.9676805586766	169.39481708620679
-932.3920610267423	4.288953549895332	58602	4.288334501131884	150.66477701170538	1254.0020746294986	1775.4363910021527	160.70138139994242
-888.7222976279113	4.328024952251269	69367	4.327550187406394	147.123496639537	1211.108027710512	1722.5948079367965	162.38465022614946
-853.5242154065068	4.3671861957451	78134	4.366765873680904	145.84729322901657	1157.5359086494645	1677.8803961968615	145.40500142956625
-813.2746654846769	4.40614663697364	85795	4.405981559955413	130.44579883251197	1089.1715901668576	1609.2053161131644	133.75253634314322
-793.0469688451703	4.445342313487186	90225	4.445197246229924	102.65335274761628	1014.498771956658	1558.1653281002139	112.73248027376849
-772.9328796379248	4.484479327418811	91816	4.4844129325044335	94.52349024922695	980.5083309505944	1515.2706362398985	107.67234075502802
-743.9685383064534	4.523606027863846	91983	4.523628618778943	78.01540119599166	915.4434919679761	1457.6781098163651	88.86323551719215
-715.6976823940038	4.562741845902144	89222	4.562844305053453	71.36099474229864	879.1668175276795	1412.9388194562562	81.69003407140553
-704.3211044367326	4.6018640862314895	85035	4.6020599913279625	53.50531008529424	828.7348048034423	1365.4908688967962	60.09922095430193
