Count	Y Std	Y Upper Quartile	Y Lower Quartile	X Mean	Y Mean	Y Median	X Center
0	nan	nan	nan	nan	nan	nan	3.6216678344652173
0	nan	nan	nan	nan	nan	nan	3.660883520739727
0	nan	nan	nan	nan	nan	nan	3.700099207014237
0	nan	nan	nan	nan	nan	nan	3.7393148932887468
0	nan	nan	nan	nan	nan	nan	3.778530579563257
0	nan	nan	nan	nan	nan	nan	3.8177462658377666
0	nan	nan	nan	nan	nan	nan	3.856961952112276
0	nan	nan	nan	nan	nan	nan	3.896177638386786
0	nan	nan	nan	nan	nan	nan	3.9353933246612955
0	nan	nan	nan	nan	nan	nan	3.9746090109358057
0	nan	nan	nan	nan	nan	nan	4.013824697210316
0	nan	nan	nan	nan	nan	nan	4.053040383484825
0	nan	nan	nan	nan	nan	nan	4.092256069759335
0	nan	nan	nan	nan	nan	nan	4.131471756033845
0	nan	nan	nan	nan	nan	nan	4.170687442308354
0	nan	nan	nan	nan	nan	nan	4.209903128582864
0	nan	nan	nan	nan	nan	nan	4.249118814857374
0	nan	nan	nan	nan	nan	nan	4.288334501131884
0	nan	nan	nan	nan	nan	nan	4.327550187406394
0	nan	nan	nan	nan	nan	nan	4.366765873680904
0	nan	nan	nan	nan	nan	nan	4.405981559955413
0	nan	nan	nan	nan	nan	nan	4.445197246229924
0	nan	nan	nan	nan	nan	nan	4.4844129325044335
0	nan	nan	nan	nan	nan	nan	4.523628618778943
0	nan	nan	nan	nan	nan	nan	4.562844305053453
0	nan	nan	nan	nan	nan	nan	4.6020599913279625
0	nan	nan	nan	nan	nan	nan	4.641275677602472
0	nan	nan	nan	nan	nan	nan	4.680491363876982
0	nan	nan	nan	nan	nan	nan	4.7197070501514915
703	33.2555900857195	42.91922512612109	-8.202332122553344	4.764798150237434	3.7092143184789625	-8.202332122553344	4.758922736426001
3211	19.50666429753439	5.639951536682929	-14.299797273100921	4.800002311907018	-4.948443319556276	-4.788566165043449	4.798138422700512
3169	22.942091166906383	1.8291676406533952	-18.961117207996722	4.8339141098188625	-7.065731599850954	-12.237352768275741	4.837354108975021
4823	24.295702947409563	21.456494619680598	-9.37264188591871	4.8801410077132	6.769439183190176	-0.7531274220054911	4.876569795249531
4414	22.379344626280684	19.08855915005188	-10.860357434581601	4.917445892817964	6.105894930775477	-3.9278005959713482	4.915785481524041
6389	22.406872048276245	5.132457056382918	-32.836350197303545	4.95134646267432	-6.888983260944911	-2.951073750782598	4.955001167798551
4277	22.747429100541858	13.438927021934433	-10.70036310208161	4.9975674133672845	2.682719843565614	4.026295646799554	4.994216854073061
6812	18.4991715658601	10.179783559045973	-17.640038877050756	5.034723756738576	-3.8186539507117194	-2.854381568969984	5.033432540347571
3875	14.993551124809521	7.974912061250507	-1.6454441959613177	5.07539293927824	5.884790377187978	5.214784494138257	5.07264822662208
3533	22.202291070873926	12.71745320912487	-8.757888667139923	5.1102853961164385	0.7017559222181222	4.8464946408112155	5.11186391289659
2533	28.29201674074848	-5.19640963285201	-34.37817930055644	5.152931369774074	-21.024426024771014	-8.017818400650867	5.1510795991711
2254	20.456760074562563	23.303356607388196	4.607794603314687	5.185177151904247	12.572077405520485	17.978927085656323	5.190295285445609
2285	22.72127604548395	24.657105104764923	-3.5118878827688604	5.230115742473813	7.911124925599738	14.364827684305055	5.229510971720119
2419	36.88046753783362	27.862037347382284	-39.654147861185265	5.26979506598823	0.9990418307393745	0.9429471966595884	5.268726657994629
2258	36.19982078859612	11.048763819464511	-38.15233910977804	5.306832291449326	-13.526125723844762	-8.655054790107897	5.307942344269139
1845	21.773734248410435	20.46017576003578	-25.33349180683581	5.352310893410761	0.5452015070644611	4.129553577095066	5.347158030543649
2265	25.848718648925907	11.601851849452942	-6.123572287022398	5.391566979320956	6.4597503293120715	6.113316113194742	5.3863737168181585
0	nan	nan	nan	nan	nan	nan	5.425589403092668
0	nan	nan	nan	nan	nan	nan	5.464805089367179
0	nan	nan	nan	nan	nan	nan	5.504020775641688
0	nan	nan	nan	nan	nan	nan	5.543236461916198
0	nan	nan	nan	nan	nan	nan	5.582452148190708
