Y Median	Y Upper Quartile	Y Lower Quartile	Count	X Center	X Mean	Y Std	Y Mean
-28.154668674520508	764.2440422201348	-1107.9283481785824	313	3.6216678344652173	3.6216240925871412	1772.562190581391	-50.95577661121776
40.60375735332866	992.0092935987927	-992.7094920339155	427	3.660883520739727	3.6617499737744845	1828.9252609196244	45.770366181600714
27.73151072511773	915.7834792103181	-905.9394801786007	474	3.700099207014237	3.7001925869430607	1839.5539639399558	26.78993115590795
-13.479775587013137	847.2944047167375	-945.3367083507383	637	3.7393148932887468	3.739668313828458	1794.2094390067693	-11.845242221390935
-92.64858597153261	808.0815963166474	-965.2015169021213	740	3.778530579563257	3.7794192617739895	1752.8618428551752	32.35434038226999
-15.922063170766762	899.7401692615911	-914.6138163592693	916	3.8177462658377666	3.8182065198565036	1841.1242730090453	40.51250847566481
-2.270959343559241	884.4363986716105	-819.150545746741	1114	3.856961952112276	3.8578119559870747	1749.5154825343236	85.12913455049406
20.456909907405134	864.8113847803525	-743.4449155241127	1417	3.896177638386786	3.8972073827359175	1697.0531855523805	120.63848709766084
30.558981597633647	844.5444118349396	-696.4606820114973	1712	3.9353933246612955	3.9362625669960027	1644.9968204871104	132.1647202741516
101.39776256120072	865.816261614279	-623.3595726327735	2211	3.9746090109358057	3.975310202249085	1599.1506239519445	198.687932338099
41.74674569110084	812.0649826835543	-614.4718672552688	2683	4.013824697210316	4.014470374899692	1592.9398907561929	160.616898109872
74.13972885629434	828.6069246199586	-524.5096333503197	3533	4.053040383484825	4.05385389427336	1523.5279015031308	213.91002971092615
59.355667285228265	822.0517677271891	-552.9112776014372	4585	4.092256069759335	4.093346386782909	1471.913628769207	191.03763638353433
69.21683339542096	767.7880064032909	-509.5036760196583	6000	4.131471756033845	4.1323332669167785	1377.8436946124455	179.20905922726604
81.14422067459054	784.4610180285213	-479.33848721409004	7759	4.170687442308354	4.171508193733093	1349.1780576161375	193.4278830035055
91.03157933059504	749.8559824979066	-445.06245255752174	9687	4.209903128582864	4.210736001009909	1275.6107659174502	194.77478319885665
110.5563933473959	770.4167556090924	-425.30596953815075	12377	4.249118814857374	4.249925066655292	1267.1457194166148	221.98188467741787
117.9996692011282	771.4746899547717	-385.7837472966494	15177	4.288334501131884	4.289027182204248	1212.2115148485784	228.62956540098384
134.61410959427303	803.9854917987691	-347.43047330332547	18171	4.327550187406394	4.328140085976656	1186.0402201851841	271.0303325383975
139.78770738451567	789.400066270678	-321.2314795027387	20392	4.366765873680904	4.367179024121756	1157.729530057899	288.07743717060123
153.05063656111915	781.1546256517581	-297.76190718051794	22542	4.405981559955413	4.406326433568712	1128.3518430982153	299.78050118594615
145.85884757094027	770.4456016163231	-287.38458560791923	24148	4.445197246229924	4.445268068075691	1092.999360420066	300.18976198605554
143.45101698369535	739.0956250731572	-277.06690678750397	24928	4.4844129325044335	4.484476130018251	1050.5083940682719	293.3443976339952
146.26629697278395	720.4180156665011	-248.5660712841502	24956	4.523628618778943	4.523579637768209	1019.0612291014113	304.79203812998907
144.4230966524592	715.7547534645089	-238.68308177784684	25271	4.562844305053453	4.562835542649069	1010.0787454018105	309.1910686750881
133.3901524879402	669.6809832105464	-233.51540948577212	24500	4.6020599913279625	4.601861498580924	967.4574755429214	296.73644985339075
115.77508248647246	620.8414081318306	-232.8443462610103	23267	4.641275677602472	4.641177495364402	956.7716114673885	275.0578067276291
114.309110169198	596.6773530516712	-223.81329857512173	21587	4.680491363876982	4.680236216957623	916.9991258626967	273.23232103669966
111.76914123253225	558.9471150126625	-213.28126673277598	20398	4.7197070501514915	4.719710209872144	888.7000945380694	264.9748623231305
81.26519961270787	488.24987942244024	-228.17006922979988	20883	4.758922736426001	4.759240752595969	833.9720884639653	222.39373256523322
71.4966867927501	436.38482883789334	-213.95358339478912	22908	4.798138422700512	4.798551053708169	807.6553497127139	199.44088219234044
59.013580396998805	395.514126476975	-211.90545271299175	25274	4.837354108975021	4.837690577541115	776.4618287279079	186.53050652047529
46.53339453387571	355.9955795349001	-209.98199688332625	28288	4.876569795249531	4.876828129207948	736.977795748849	163.28962220249593
40.33721765264272	323.80522270206825	-203.72246830629183	31792	4.915785481524041	4.916056082245342	716.4919611360336	144.18763539397344
35.80291776226477	303.6163858422651	-194.8727554655452	34243	4.955001167798551	4.955169485790998	698.4354178195505	130.1034331811677
33.389045412019186	285.9774860913203	-188.73947910750576	35701	4.994216854073061	4.994390870811629	674.2693904346607	114.67230471622786
18.72606606384943	251.93506803063883	-186.24898472204268	39139	5.033432540347571	5.03375498040769	632.1353631222349	88.71922904433318
21.93911528818657	238.2797439452463	-175.1638717900912	41210	5.07264822662208	5.072615675709852	603.028981295291	82.21214486676178
17.014749854191905	219.02314077957226	-174.55723840132737	39806	5.11186391289659	5.111658309114507	573.7818456807281	62.81493258939499
11.685608840571149	204.12752648239803	-168.95602888727262	38517	5.1510795991711	5.150932177732869	558.6737453763783	53.2103033729623
12.54327030205559	192.02892610212166	-160.90047711437046	35536	5.190295285445609	5.189959777598679	545.5679162866982	43.61866543326249
10.660289038441078	183.67013838929142	-155.1688091036201	30436	5.229510971720119	5.228998703900475	521.4797257801025	36.46833063906731
15.338630247087167	179.53449414762295	-145.18358443185616	25062	5.268726657994629	5.267768210411418	523.4156040288564	31.316757968281504
15.924918536607947	173.49602061460246	-144.85366731799513	18099	5.307942344269139	5.306889250933962	514.7923130334542	28.436298936079634
4.321287819551799	165.96511102005388	-150.74354747517782	13035	5.347158030543649	5.346355004047813	544.2964263181257	11.01016562186693
