X Mean	Y Lower Quartile	Y Mean	Count	Y Upper Quartile	Y Median	X Center	Y Std
nan	nan	nan	0	nan	nan	3.6216678344652173	nan
nan	nan	nan	0	nan	nan	3.660883520739727	nan
nan	nan	nan	0	nan	nan	3.700099207014237	nan
nan	nan	nan	0	nan	nan	3.7393148932887468	nan
nan	nan	nan	0	nan	nan	3.778530579563257	nan
nan	nan	nan	0	nan	nan	3.8177462658377666	nan
nan	nan	nan	0	nan	nan	3.856961952112276	nan
nan	nan	nan	0	nan	nan	3.896177638386786	nan
nan	nan	nan	0	nan	nan	3.9353933246612955	nan
nan	nan	nan	0	nan	nan	3.9746090109358057	nan
nan	nan	nan	0	nan	nan	4.013824697210316	nan
nan	nan	nan	0	nan	nan	4.053040383484825	nan
nan	nan	nan	0	nan	nan	4.092256069759335	nan
nan	nan	nan	0	nan	nan	4.131471756033845	nan
nan	nan	nan	0	nan	nan	4.170687442308354	nan
nan	nan	nan	0	nan	nan	4.209903128582864	nan
nan	nan	nan	0	nan	nan	4.249118814857374	nan
nan	nan	nan	0	nan	nan	4.288334501131884	nan
nan	nan	nan	0	nan	nan	4.327550187406394	nan
nan	nan	nan	0	nan	nan	4.366765873680904	nan
nan	nan	nan	0	nan	nan	4.405981559955413	nan
nan	nan	nan	0	nan	nan	4.445197246229924	nan
nan	nan	nan	0	nan	nan	4.4844129325044335	nan
nan	nan	nan	0	nan	nan	4.523628618778943	nan
nan	nan	nan	0	nan	nan	4.562844305053453	nan
nan	nan	nan	0	nan	nan	4.6020599913279625	nan
nan	nan	nan	0	nan	nan	4.641275677602472	nan
nan	nan	nan	0	nan	nan	4.680491363876982	nan
4.727818225850428	3.276637619645829	3.2766376196458284	443	3.276637619645829	3.276637619645829	4.7197070501514915	4.440892098500626e-16
nan	nan	nan	0	nan	nan	4.758922736426001	nan
4.811638932680977	3.396348629487035	3.396348629487036	3858	3.396348629487035	3.396348629487035	4.798138422700512	8.881784197001252e-16
4.844467328154711	3.405823954089521	3.4043864319879003	2392	3.405823954089521	3.405823954089521	4.837354108975021	0.0160652171147647
4.871886329374626	3.306203853588719	3.3123181806330897	1805	3.306203853588719	3.306203853588719	4.876569795249531	0.0193410937990344
4.908074476313605	3.491867006150406	3.4922076869989684	8124	3.492554119162749	3.491867006150406	4.915785481524041	0.00034354447095846286
4.952809010191083	3.5249226651826837	3.5249226651826833	1416	3.5249226651826837	3.5249226651826837	4.955001167798551	4.440892098500626e-16
4.988937305089327	3.3848784379819126	3.5170509545679622	9801	3.5713322898978688	3.5713322898978688	4.994216854073061	0.09664366266794859
5.050133977533376	3.5887478749867556	3.568606397772484	3170	3.5887478749867556	3.5887478749867556	5.033432540347571	0.04541647640608326
5.060552934191754	3.3066706759522786	3.408629612779116	3739	3.4099205329688624	3.4099205329688624	5.07264822662208	0.09059359822929444
5.110547320853706	3.6144645522431804	3.6133697619078204	1076	3.6144645522431804	3.6144645522431804	5.11186391289659	0.017922490212309593
5.146142059364895	3.7191969477756763	3.781432886486811	11457	3.831292904184896	3.7933770836911345	5.1510795991711	0.0472682680615728
5.19241219597348	3.7631277783473416	3.7631277783473407	1662	3.7631277783473416	3.7631277783473416	5.190295285445609	8.881784197001252e-16
5.242996439730702	3.8219110117327633	3.8219110117327633	2633	3.8219110117327633	3.8219110117327633	5.229510971720119	0.0
5.2612037442007695	3.882282247200291	3.8822822472002914	318	3.882282247200291	3.882282247200291	5.268726657994629	4.440892098500626e-16
nan	nan	nan	0	nan	nan	5.307942344269139	nan
5.355531086874297	4.005864468035044	3.987867110128232	4031	4.005864468035044	4.005864468035044	5.347158030543649	0.06574628640844989
5.382909435958205	3.8756392431744944	3.875639243174494	1140	3.8756392431744944	3.8756392431744944	5.3863737168181585	4.440892098500626e-16
nan	nan	nan	0	nan	nan	5.425589403092668	nan
nan	nan	nan	0	nan	nan	5.464805089367179	nan
nan	nan	nan	0	nan	nan	5.504020775641688	nan
nan	nan	nan	0	nan	nan	5.543236461916198	nan
nan	nan	nan	0	nan	nan	5.582452148190708	nan
