Y Median	X Center	X Mean	Y Mean	Y Std	Y Lower Quartile	Count	Y Upper Quartile
nan	3.6216678344652173	nan	nan	nan	nan	0	nan
nan	3.660883520739727	nan	nan	nan	nan	0	nan
nan	3.700099207014237	nan	nan	nan	nan	0	nan
nan	3.7393148932887468	nan	nan	nan	nan	0	nan
nan	3.778530579563257	nan	nan	nan	nan	0	nan
nan	3.8177462658377666	nan	nan	nan	nan	0	nan
nan	3.856961952112276	nan	nan	nan	nan	0	nan
nan	3.896177638386786	nan	nan	nan	nan	0	nan
nan	3.9353933246612955	nan	nan	nan	nan	0	nan
nan	3.9746090109358057	nan	nan	nan	nan	0	nan
nan	4.013824697210316	nan	nan	nan	nan	0	nan
nan	4.053040383484825	nan	nan	nan	nan	0	nan
nan	4.092256069759335	nan	nan	nan	nan	0	nan
nan	4.131471756033845	nan	nan	nan	nan	0	nan
nan	4.170687442308354	nan	nan	nan	nan	0	nan
nan	4.209903128582864	nan	nan	nan	nan	0	nan
nan	4.249118814857374	nan	nan	nan	nan	0	nan
nan	4.288334501131884	nan	nan	nan	nan	0	nan
nan	4.327550187406394	nan	nan	nan	nan	0	nan
nan	4.366765873680904	nan	nan	nan	nan	0	nan
nan	4.405981559955413	nan	nan	nan	nan	0	nan
nan	4.445197246229924	nan	nan	nan	nan	0	nan
nan	4.4844129325044335	nan	nan	nan	nan	0	nan
nan	4.523628618778943	nan	nan	nan	nan	0	nan
nan	4.562844305053453	nan	nan	nan	nan	0	nan
nan	4.6020599913279625	nan	nan	nan	nan	0	nan
nan	4.641275677602472	nan	nan	nan	nan	0	nan
nan	4.680491363876982	nan	nan	nan	nan	0	nan
nan	4.7197070501514915	nan	nan	nan	nan	0	nan
10.309952166480798	4.758922736426001	4.768131755209223	10.126168532825975	21.781827013917063	-14.116841066886991	824	32.31232309102779
9.863069210188769	4.798138422700512	4.799357681581489	5.096611126293601	26.4407985663012	-22.26865597064898	2836	33.327266389558645
0.849383380909785	4.837354108975021	4.832626648002481	0.6564193613589073	25.45489692424161	-26.650635577157118	3423	27.04222092065538
-7.887461048543628	4.876569795249531	4.8794994971517305	-6.011567356870924	26.290607563997256	-16.45932603984693	4567	14.225684843297131
-3.664757642431141	4.915785481524041	4.91767505803175	-1.1129833077804279	17.76657631172105	-10.748352993457956	4926	13.686030382626996
-4.071621509627221	4.955001167798551	4.951064899116071	2.2483840597748097	26.29089051105047	-20.533117833452707	5973	28.634063496274393
-0.19972855559899472	4.994216854073061	4.997096413217951	-3.7761698946816904	24.08517106541211	-18.35278734894382	4481	13.98282794790066
-1.7545755340870528	5.033432540347571	5.033530502892588	-5.572452874151183	24.586828169938716	-15.581623933354422	6540	6.666871205397911
-13.872767099072007	5.07264822662208	5.074004011541968	-14.60296322849643	17.287940639141066	-22.858347976340156	4055	-3.1261705458618962
-1.1039020264070132	5.11186391289659	5.1096049206030685	-4.350517805645634	14.447654012145863	-12.336741824618002	3581	7.029723471645411
-3.63600209514334	5.1510795991711	5.15295167955898	-6.928268368403619	25.126794969216544	-28.45736884469261	2533	11.517551099099364
11.198132917415933	5.190295285445609	5.185351327033142	7.837906604017453	23.274999627070752	-18.36965899929055	2254	16.191068574826204
-6.063393698359505	5.229510971720119	5.22983098420212	-8.322894553019642	23.53632672704544	-22.403659416029768	2285	13.707278382631557
-1.3181641218488949	5.268726657994629	5.269702826901979	-0.21107086140564213	33.10209500745771	-6.786109273956754	2419	32.354316832606855
1.246060657533235	5.307942344269139	5.306742152880035	3.0653375791541153	25.86628376071757	-21.37760413089927	2258	22.543075874424176
11.500284825195195	5.347158030543649	5.351464866195859	-1.9471535664911912	31.863384824030927	-36.86517958397235	1845	26.356772163573623
-1.7907934655395366	5.3863737168181585	5.390299145680175	7.432346540830915	26.506603113327333	-12.328401370767097	2099	44.64067140639963
41.15143369424732	5.425589403092668	5.406618845735435	41.15143369424732	0.0	41.15143369424732	166	41.15143369424732
nan	5.464805089367179	nan	nan	nan	nan	0	nan
nan	5.504020775641688	nan	nan	nan	nan	0	nan
nan	5.543236461916198	nan	nan	nan	nan	0	nan
nan	5.582452148190708	nan	nan	nan	nan	0	nan
